datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2000-06-20,361.6071,99442.99100000034,292.50000000000125,99804.59810000034,0.00016552878811104677,0.998045981000005,0.0030515549999955427
2000-06-21,397.3214,99442.99100000034,292.50000000000125,99840.31240000034,0.0003578422305174911,0.998403124000005,0.0026944119999955385
2000-06-22,383.9286,99442.99100000034,292.50000000000125,99826.91960000034,-0.00013414220847329794,0.998269196000005,0.002828339999995544
2000-06-23,369.1964,99442.99100000034,292.50000000000125,99812.18740000034,-0.00014757742760196368,0.998121874000005,0.002975661999995549
2000-06-26,386.6071,99442.99100000034,292.50000000000125,99829.59810000034,0.00017443461017663253,0.9982959810000049,0.0028015549999955702
2000-06-27,369.6429,99442.99100000034,292.50000000000125,99812.63390000035,-0.00016993156661804232,0.9981263390000051,0.0029711969999953736
2000-06-28,388.83930000000004,99442.99100000034,292.50000000000125,99831.83030000035,0.00019232435063520903,0.9983183030000052,0.0027792329999952736
2000-06-29,366.0714,99442.99100000034,292.50000000000125,99809.06240000034,-0.00022806253207607874,0.9980906240000051,0.0030069119999953653
2000-06-30,374.1071,99442.99100000034,292.50000000000125,99817.09810000034,8.051072524639658e-05,0.998170981000005,0.002926554999995501
2000-07-03,380.8036,99442.99100000034,292.50000000000125,99823.79460000034,6.708770468666359e-05,0.9982379460000051,0.00285958999999536
2000-07-05,368.75,99442.99100000034,292.50000000000125,99811.74100000034,-0.00012074876584589056,0.9981174100000051,0.00298012599999542
2000-07-06,370.08930000000004,99442.99100000034,292.50000000000125,99813.08030000035,1.3418261084252592e-05,0.9981308030000052,0.0029667329999952807
2000-07-07,388.83930000000004,99442.99100000034,292.50000000000125,99831.83030000035,0.00018785113077002258,0.9983183030000051,0.0027792329999953846
2000-07-10,408.0357,99442.99100000034,292.50000000000125,99851.02670000034,0.00019228736909160382,0.998510267000005,0.0025872689999955067
2000-07-11,406.6964,99442.99100000034,292.50000000000125,99849.68740000034,-1.3412981761495857e-05,0.9984968740000051,0.002600661999995424
2000-07-12,0.0,99848.38740000034,293.80000000000126,99848.38740000034,-1.3019570054284557e-05,0.998483874000005,0.0026136619999954647
2000-07-13,403.5714,99426.55170000035,295.1000000000013,99830.12310000035,-0.00018292033026856558,0.9983012310000051,0.0027963049999953915
2000-07-14,412.0536,99426.55170000035,295.1000000000013,99838.60530000034,8.49663381812249e-05,0.998386053000005,0.0027114829999954626
2000-07-17,416.5179,99426.55170000035,295.1000000000013,99843.06960000035,4.471516791126895e-05,0.9984306960000052,0.002666839999995285
2000-07-18,408.9286,99426.55170000035,295.1000000000013,99835.48030000034,-7.60122863850965e-05,0.9983548030000052,0.0027427329999952788
2000-07-19,376.33930000000004,99426.55170000035,295.1000000000013,99802.89100000035,-0.00032643004172527856,0.9980289100000053,0.0030686259999952448
2000-07-20,393.75,99426.55170000035,295.1000000000013,99820.30170000035,0.00017445085834233431,0.9982030170000052,0.002894518999995266
2000-07-21,382.58930000000004,99426.55170000035,295.1000000000013,99809.14100000035,-0.00011180791692588787,0.9980914100000053,0.0030061259999951684
2000-07-24,347.7679,99426.55170000035,295.1000000000013,99774.31960000035,-0.0003488798686285266,0.9977431960000053,0.0033543399999952372
2000-07-25,357.58930000000004,99426.55170000035,295.1000000000013,99784.14100000035,9.843615109961235e-05,0.9978414100000054,0.003256125999995141
2000-07-26,0.0,99782.84100000035,296.4000000000013,99782.84100000035,-1.3028122374691975e-05,0.9978284100000053,0.0032691259999951816
2000-07-27,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-07-28,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-07-31,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-01,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-02,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-03,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-04,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-07,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-08,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-09,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-10,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-11,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-14,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-15,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-16,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-17,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-18,0.0,99782.84100000035,296.4000000000013,99782.84100000035,0.0,0.9978284100000053,0.0032691259999951816
2000-08-21,360.71430000000004,99424.39810000036,297.7000000000013,99785.11240000036,2.276343284335347e-05,0.9978511240000055,0.0032464119999949803
2000-08-22,369.1964,99424.39810000036,297.7000000000013,99793.59450000036,8.500366232988554e-05,0.9979359450000055,0.003161590999995023
2000-08-23,387.9464,99424.39810000036,297.7000000000013,99812.34450000036,0.00018788781077527794,0.9981234450000055,0.002974090999995016
2000-08-24,400.7813,99424.39810000036,297.7000000000013,99825.17940000036,0.00012859030678313843,0.9982517940000055,0.0028457419999949884
2000-08-25,405.8036,99424.39810000036,297.7000000000013,99830.20170000035,5.0310953911392176e-05,0.9983020170000054,0.0027955189999950836
2000-08-28,414.7321,99424.39810000036,297.7000000000013,99839.13020000035,8.943686227169678e-05,0.9983913020000054,0.0027062339999951446
2000-08-29,422.7679,99424.39810000036,297.7000000000013,99847.16600000036,8.048748004840789e-05,0.9984716600000056,0.0026258759999948644
2000-08-30,425.0,99424.39810000036,297.7000000000013,99849.39810000036,2.2355166294785178e-05,0.9984939810000055,0.0026035549999949836
2000-08-31,435.2679,99424.39810000036,297.7000000000013,99859.66600000036,0.00010283386976173148,0.9985966600000056,0.0025008759999949337
2000-09-01,453.125,99424.39810000036,297.7000000000013,99877.52310000036,0.00017882194799234696,0.9987752310000054,0.002322304999995084
2000-09-05,445.9821,99424.39810000036,297.7000000000013,99870.38020000035,-7.151659130411048e-05,0.9987038020000053,0.0023937339999952068
2000-09-06,417.4107,99424.39810000036,297.7000000000013,99841.80880000035,-0.00028608482257486134,0.9984180880000053,0.0026794479999951992
2000-09-07,442.8571,99424.39810000036,297.7000000000013,99867.25520000035,0.0002548671774464939,0.9986725520000054,0.002424983999995134
2000-09-08,420.5357,99424.39810000036,297.7000000000013,99844.93380000035,-0.00022351069883019825,0.9984493380000053,0.002648197999995161
2000-09-11,417.4107,99424.39810000036,297.7000000000013,99841.80880000035,-3.1298533446522114e-05,0.9984180880000053,0.0026794479999951992
2000-09-12,412.5,99424.39810000036,297.7000000000013,99836.89810000036,-4.9184806034774375e-05,0.9983689810000054,0.0027285549999951364
2000-09-13,414.2857,99424.39810000036,297.7000000000013,99838.68380000035,1.7886172687386903e-05,0.9983868380000053,0.0027106979999952374
2000-09-14,406.13839999999993,99424.39810000036,297.7000000000013,99830.53650000035,-8.160464150663849e-05,0.9983053650000053,0.0027921709999951805
2000-09-15,394.5313,99424.39810000036,297.7000000000013,99818.92940000036,-0.00011626803187614332,0.9981892940000053,0.002908241999995176
2000-09-18,0.0,99817.62940000035,299.0000000000013,99817.62940000035,-1.3023581877824597e-05,0.9981762940000054,0.0029212419999951056
2000-09-19,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-20,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-21,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-22,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-25,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-26,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-27,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-28,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-09-29,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-02,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-03,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-04,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-05,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-06,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-09,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-10,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-11,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-12,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-13,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-16,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-17,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-18,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-19,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-20,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-23,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-24,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-25,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-26,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-27,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-30,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-10-31,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-11-01,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-11-02,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-11-03,0.0,99817.62940000035,299.0000000000013,99817.62940000035,0.0,0.9981762940000054,0.0029212419999951056
2000-11-06,153.125,99657.40080000035,300.3000000000013,99810.52580000035,-7.1165785469951e-05,0.9981052580000054,0.00299227799999513
2000-11-07,152.23209999999997,99657.40080000035,300.3000000000013,99809.63290000035,-8.945950267791325e-06,0.9980963290000053,0.0030012069999951763
2000-11-08,143.3036,99657.40080000035,300.3000000000013,99800.70440000035,-8.945529344783765e-05,0.9980070440000054,0.0030904919999951153
2000-11-09,144.1964,99657.40080000035,300.3000000000013,99801.59720000035,8.94582864297e-06,0.9980159720000055,0.0030815639999950406
2000-11-10,136.1607,99657.40080000035,300.3000000000013,99793.56150000035,-8.051674748155158e-05,0.9979356150000054,0.003161920999995127
2000-11-13,138.39290000000003,99657.40080000035,300.3000000000013,99795.79370000036,2.2368176528342332e-05,0.9979579370000056,0.0031395989999949414
2000-11-14,144.64290000000003,99657.40080000035,300.3000000000013,99802.04370000036,6.26278900970334e-05,0.9980204370000054,0.003077098999995087
2000-11-15,141.9643,99657.40080000035,300.3000000000013,99799.36510000036,-2.6839129748212898e-05,0.9979936510000054,0.0031038849999951434
2000-11-16,135.7143,99657.40080000035,300.3000000000013,99793.11510000036,-6.262564890802125e-05,0.9979311510000054,0.003166384999995109
2000-11-17,0.0,99791.81510000036,301.60000000000133,99791.81510000036,-1.3026950794192693e-05,0.9979181510000054,0.0031793849999951496
2000-11-20,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-21,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-22,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-24,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-27,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-28,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-29,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-11-30,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-01,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-04,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-05,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-06,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-07,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-08,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-11,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-12,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-13,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-14,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-15,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-18,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-19,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-20,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-21,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-22,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-26,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-27,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-28,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2000-12-29,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2001-01-02,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2001-01-03,0.0,99791.81510000036,301.60000000000133,99791.81510000036,0.0,0.9979181510000054,0.0031793849999951496
2001-01-04,121.875,99673.55080000036,302.90000000000134,99795.42580000036,3.61823261394445e-05,0.9979542580000054,0.003143277999995142
2001-01-05,116.9643,99673.55080000036,302.90000000000134,99790.51510000037,-4.9207666189321486e-05,0.9979051510000055,0.0031923849999949683
2001-01-08,118.3036,99673.55080000036,302.90000000000134,99791.85440000036,1.3421115209633072e-05,0.9979185440000053,0.003178991999995162
2001-01-09,122.76790000000003,99673.55080000036,302.90000000000134,99796.31870000037,4.473611625765983e-05,0.9979631870000054,0.0031343489999950958
2001-01-10,118.3036,99673.55080000036,302.90000000000134,99791.85440000036,-4.4734115027145194e-05,0.9979185440000053,0.003178991999995162
2001-01-11,128.5714,99673.55080000036,302.90000000000134,99802.12220000036,0.00010289216551528924,0.9980212220000054,0.003076313999995084
2001-01-12,122.76790000000003,99673.55080000036,302.90000000000134,99796.31870000037,-5.815006607134965e-05,0.9979631870000055,0.0031343489999949847
2001-01-16,122.3214,99673.55080000036,302.90000000000134,99795.87220000036,-4.474112931474039e-06,0.9979587220000055,0.0031388139999950493
2001-01-17,120.0893,99673.55080000036,302.90000000000134,99793.64010000037,-2.2366656563965748e-05,0.9979364010000055,0.003161134999995041
2001-01-18,133.48209999999997,99673.55080000036,302.90000000000134,99807.03290000035,0.00013420494519045256,0.9980703290000053,0.0030272069999952578
2001-01-19,139.2857,99673.55080000036,302.90000000000134,99812.83650000035,5.814820690863698e-05,0.9981283650000053,0.002969170999995163
2001-01-22,137.5,99673.55080000036,302.90000000000134,99811.05080000036,-1.789048445677288e-05,0.9981105080000054,0.002987027999995062
2001-01-23,146.4286,99673.55080000036,302.90000000000134,99819.97940000036,8.945502455315335e-05,0.9981997940000054,0.0028977419999951515
2001-01-24,146.4286,99673.55080000036,302.90000000000134,99819.97940000036,0.0,0.9981997940000054,0.0028977419999951515
2001-01-25,142.4107,99673.55080000036,302.90000000000134,99815.96150000035,-4.025146092156984e-05,0.9981596150000053,0.002937920999995236
2001-01-26,139.73209999999997,99673.55080000036,302.90000000000134,99813.28290000035,-2.683538744452374e-05,0.9981328290000052,0.0029647069999952924
2001-01-29,154.9107,99673.55080000036,302.90000000000134,99828.46150000035,0.0001520699405830328,0.9982846150000052,0.0028129209999953053
2001-01-30,155.35709999999997,99673.55080000036,302.90000000000134,99828.90790000035,4.471670636663205e-06,0.9982890790000052,0.0028084569999953235
2001-01-31,154.4643,99673.55080000036,302.90000000000134,99828.01510000037,-8.943301281871818e-06,0.9982801510000053,0.002817384999995176
2001-02-01,150.89290000000003,99673.55080000036,302.90000000000134,99824.44370000037,-3.577552850697607e-05,0.9982444370000053,0.002853098999995196
2001-02-02,147.3214,99673.55080000036,302.90000000000134,99820.87220000036,-3.5777810199810745e-05,0.9982087220000053,0.002888813999995188
2001-02-05,144.1964,99673.55080000036,302.90000000000134,99817.74720000036,-3.130607788859319e-05,0.9981774720000053,0.002920063999995226
2001-02-06,150.89290000000003,99673.55080000036,302.90000000000134,99824.44370000037,6.708726842519219e-05,0.9982444370000053,0.002853098999995196
2001-02-07,148.2143,99673.55080000036,302.90000000000134,99821.76510000037,-2.6833107210189056e-05,0.9982176510000054,0.0028798849999951415
2001-02-08,148.2143,99673.55080000036,302.90000000000134,99821.76510000037,0.0,0.9982176510000054,0.0028798849999951415
2001-02-09,136.60709999999997,99673.55080000036,302.90000000000134,99810.15790000035,-0.00011627925020540886,0.9981015790000053,0.0029959569999952196
2001-02-12,140.625,99673.55080000036,302.90000000000134,99814.17580000036,4.0255421738022434e-05,0.9981417580000054,0.002955777999995135
2001-02-13,136.60709999999997,99673.55080000036,302.90000000000134,99810.15790000035,-4.0253801304346304e-05,0.9981015790000053,0.0029959569999952196
2001-02-14,0.0,99808.85790000037,304.20000000000135,99808.85790000037,-1.3024726414068155e-05,0.9980885790000054,0.0030089569999951493
2001-02-15,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-16,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-20,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-21,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-22,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-23,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-26,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-27,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-02-28,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-03-01,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-03-02,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
2001-03-05,0.0,99808.85790000037,304.20000000000135,99808.85790000037,0.0,0.9980885790000054,0.0030089569999951493
